MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
MA6I,MAZDA 6 SEDAN I TOURING,1,1,0,0,MAZDA 6 SEDAN I TOURING,486
KIOP,KIA OPTI,0,1,0,0,KIA OPTI,657
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,9964
NIAL,NISSALTI,1,1,1,0,NISSALTI,103
FTA2,FORDTAU2,1,0,1,0,FORDTAU2,319
FOE2,FORDESC2,0,1,1,1,FORDESC2,335
NIVS,NISSVRSA,0,1,0,0,NISSVRSA,306
FOE2,FORDESC2,0,1,0,0,FORDESC2,3713
SUIW,SUBAIMPW,0,1,0,1,SUBAIMPW,4821
KISL,KIA SOUL,1,1,1,0,KIA SOUL,111
BMWX,BMW X1 AWD,0,1,0,1,BMW X1 AWD,455
LNLA,LINCNALA,0,1,1,0,LINCNALA,308
HYEL,HYUNELAN,0,1,1,0,HYUNELAN,231
VWJE,VOLKJETT,0,1,0,1,VOLKJETT,3959
DOGC,DODGGRCA,0,1,1,1,DODGGRCA,8697
FEXP,FORDEXPL,1,0,0,0,FORDEXPL,5185
HYSL,HYUNSONA,0,1,0,1,HYUNSONA,14706
FOFN,FORDFUSI,0,0,1,1,FORDFUSI,8325
HYSL,HYUNSONA,1,0,1,1,HYUNSONA,12815
DOGC,DODGGRCA,1,1,1,1,DODGGRCA,9990
TOYB,TOYOCRLA,1,1,1,1,TOYOCRLA,7045
CHTV,CHEVTRAV,1,0,0,1,CHEVTRAV,11101
HYSA,HYUNSAN2,1,1,0,1,HYUNSAN2,7211
CHT4,CHEVTRA4,0,1,1,1,CHEVTRA4,16346
NIAL,NISSALTI,0,0,0,0,NISSALTI,10650
NIAL,NISSALTI,1,0,0,0,NISSALTI,10128
CTWN,CHRYTOWN,1,0,0,0,CHRYTOWN,2165
CMPS,JEEPCMPS,0,1,1,1,JEEPCMPS,10708
LIMX,LINC MKX,0,1,1,0,LINC MKX,22855
TOYB,TOYOCRLA,1,1,0,0,TOYOCRLA,11595
FMGC,FORDMGTC,0,1,0,0,FORDMGTC,0
KIOP,KIA OPTI,0,1,0,1,KIA OPTI,5489
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,13443
CHSU,CHEVROLET SUBURBAN 4WD,1,0,0,0,CHEVROLET SUBURBAN 4WD,9614
HYSL,HYUNSONA,0,1,0,0,HYUNSONA,12598
CHIM,CHEVIMPA,1,0,1,0,CHEVIMPA,4673
CHSU,CHEVSUBU,1,0,0,0,CHEVSUBU,3522
TOPH,TOYOPRIH,1,0,0,1,TOYOPRIH,1386
HYEL,HYUNELAN,1,0,0,0,HYUNELAN,450
KS72,KIA SO7F,0,0,0,0,KIA SO7F,2152
CMRY,TOYOCAMR,1,1,1,1,TOYOCAMR,1159
MA3S,MAZD3SED,1,0,1,1,MAZD3SED,343
HYEL,HYUNELAN,0,1,0,1,HYUNELAN,1746
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,257
CHCZ,CHEVCRUZ,0,1,1,1,CHEVCRUZ,492
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,891
BUE4,BUICENC4,1,1,1,1,BUICENC4,239
MA5S,MAZD5SPT,1,1,1,1,MAZD5SPT,78
MAMX,MAZDMX5M,0,1,1,1,MAZDMX5M,312
FMSN,FORDMUST,1,0,0,0,FORDMUST,17057
V60F,VOLVV60F,1,1,0,1,VOLVV60F,11501
MA3S,MAZD3SED,1,1,1,0,MAZD3SED,1156
KIFO,KIA FORT,0,1,1,1,KIA FORT,1880
CHSS,CHEVCAMS,0,1,1,1,CHEVCAMS,7942
HYSL,HYUNDAI SONATA  4DR/5PSGR,1,1,0,1,HYUNDAI SONATA  4DR/5PSGR,488
CHTA,CHEVTAHO,1,0,0,1,CHEVTAHO,118
CX5F,MAZDCX5F,0,1,0,1,MAZDCX5F,269
CTWN,CHRYTOWN,0,1,1,0,CHRYTOWN,944
CMRY,TOYOCAMR,1,0,1,0,TOYOCAMR,0
TOYB,TOYOCRLA,0,0,1,0,TOYOCRLA,471
KIOP,KIA OPTIMA,1,0,0,0,KIA OPTIMA,2726
FMSN,FORDMUST,1,1,1,0,FORDMUST,2130
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,445
GYX2,GMC YUX2,0,0,1,0,GMC YUX2,1235
VWJE,VOLKJETT,0,0,1,1,VOLKJETT,7183
DOGC,DODGGRCA,1,1,0,1,DODGGRCA,11172
CHCZ,CHEVCRUZ,1,0,1,0,CHEVCRUZ,5229
CCAT,CHEVCAPT,0,1,0,0,CHEVCAPT,34454
BREG,BUICREGL,0,1,1,1,BUICREGL,12160
CCAT,CHEVCAPT,1,0,0,0,CHEVCAPT,12757
KIOP,KIA OPTI,0,0,1,1,KIA OPTI,7998
MA6I,MAZD6SED,1,0,0,1,MAZD6SED,22503
TOYB,TOYOCRLA,1,1,0,0,TOYOCRLA,11526
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,12865
FOFN,FORDFUSI,1,0,1,1,FORDFUSI,9930
CHMA,CHEVMALI,0,0,1,1,CHEVMALI,2213
FFET,FORDFIES,1,0,1,0,FORDFIES,869
XBEN,BUICENCL,0,1,1,0,BUICENCL,934
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,128
HYSL,HYUNSONA,0,0,0,1,HYUNSONA,831
VWJE,VOLKJETT,1,0,1,0,VOLKJETT,1003
CHCZ,CHEVCRUZ,0,1,1,1,CHEVCRUZ,364
FTA2,FORDTAU2,1,1,0,0,FORDTAU2,635
HYSL,HYUNSONA,0,0,0,0,HYUNSONA,2631
FTA2,FORDTAU2,0,1,0,1,FORDTAU2,2371
KISL,KIA SOUL,0,0,1,0,KIA SOUL,128
HYSL,HYUNSONA,0,0,1,1,HYUNSONA,498
BX3I,BMW X3 XDRIVE 28I,1,0,1,1,BMW X3 XDRIVE 28I,1116
FOL2,FORDEL2W,1,1,1,1,FORDEL2W,572
FMUC,FORDMUSC,1,1,1,1,FORDMUSC,958
FEXP,FORDEXPL,0,0,1,1,FORDEXPL,468
HYAK,HYUNACCE,1,1,1,1,HYUNACCE,1377
NIAL,NISSALTI,0,0,0,0,NISSALTI,2315
MA6I,MAZD6SED,0,0,1,1,MAZD6SED,878
CHS5,CHEVSON5,0,0,0,0,CHEVSON5,710
FTRW,FORDTRAW,1,0,1,1,FORDTRAW,14686
KIOP,KIA OPTI,0,0,1,0,KIA OPTI,1324
MA3S,MAZD3SED,1,0,0,1,MAZD3SED,3886
DCRT,DODGCHRT,0,0,1,0,DODGCHRT,1100
KIFO,KIA FORT,1,0,0,1,KIA FORT,3391
CHTA,CHEVTAHO,0,0,0,1,CHEVTAHO,2160
CHEQ,CHEVEQUI,1,0,0,1,CHEVEQUI,4463
KS74,KIA SO74,1,0,0,0,KIA SO74,1081
KIFO,KIA FORT,1,1,0,0,KIA FORT,389
DOCH,DODGCHAR,0,0,1,1,DODGCHAR,1261
DOCH,DODGCHAR,1,0,1,1,DODGCHAR,698
NIVH,NISSAN VERSA HATCHBACK,0,0,0,0,NISSAN VERSA HATCHBACK,289
HYEL,HYUNDAI ELANTRA SEDAN 4DR,1,0,1,1,HYUNDAI ELANTRA SEDAN 4DR,1034
KISL,KIA SOUL,0,1,1,0,KIA SOUL,358
HYEL,HYUNELAN,0,0,0,1,HYUNELAN,2480
KIRO,KIA RIO,1,1,0,1,KIA RIO,385
KS72,KIA SO7F,1,1,0,0,KIA SO7F,2124
FOFN,FORDFUSI,1,1,0,0,FORDFUSI,1717
KISL,KIA SOUL,1,1,0,0,KIA SOUL,1020
NIAL,NISSALTI,1,1,1,1,NISSALTI,519
CHEQ,CHEVEQUI,1,0,1,0,CHEVEQUI,539
FOL2,FORDEL2W,0,1,1,1,FORDEL2W,448
C300,CHRY300M,1,1,0,1,CHRY300M,1091
CXTF,CADIXTSF,0,1,1,1,CADIXTSF,286
FOFN,FORDFUSI,0,1,0,0,FORDFUSI,631
HYSA,HYUNSAN2,0,1,0,1,HYUNSAN2,3325
TOYB,TOYOCRLA,0,0,0,0,TOYOCRLA,359
CHE2,CHEVEQU2,1,0,1,1,CHEVEQU2,509
CHEQ,CHEVEQUI,1,1,0,0,CHEVEQUI,335
KIOP,KIA OPTI,0,0,0,0,KIA OPTI,368
KIOP,KIA OPTI,1,0,0,1,KIA OPTI,1310
FEX2,FORDEXL2,0,1,0,1,FORDEXL2,2867
FOL2,FORDEL2W,0,1,1,1,FORDEL2W,630
KS74,KIA SO74,0,1,1,0,KIA SO74,1077
CCAT,CHEVCAPT,1,1,1,0,CHEVCAPT,657
FTRW,FORDTRAW,0,0,0,0,FORDTRAW,1690
TOYB,TOYOCRLA,1,1,0,0,TOYOCRLA,483
CHSS,CHEVCAMS,1,0,1,0,CHEVCAMS,947
NIAL,NISSAN ALTIMA SEDAN,1,1,1,1,NISSAN ALTIMA SEDAN,482
,FORDEXPL,0,1,0,0,FORDEXPL,909
FOE2,FORDESC2,1,0,1,1,FORDESC2,314
HYEL,HYUNELAN,0,0,0,0,HYUNELAN,128
FTRW,FORDTRAW,0,1,0,0,FORDTRAW,342
KS72,KIA SO7F,1,1,1,1,KIA SO7F,3442
KIFO,KIA FORT,1,0,1,0,KIA FORT,1732
CHSR,CHEVSILR,1,0,0,1,CHEVSILR,2799
CHEQ,CHEVEQUI,0,0,0,0,CHEVEQUI,789
NIAL,NISSALTI,1,0,1,1,NISSALTI,1192
GLK3,MERCGLK3,0,0,0,1,MERCGLK3,355
CTWN,CHRYTOWN,1,1,1,1,CHRYTOWN,93
KIFO,KIA FORT,0,1,0,0,KIA FORT,547
FOEP,FORDESCA,0,1,1,0,FORDESCA,536
NIAL,NISSAN ALTIMA SEDAN,1,0,0,0,NISSAN ALTIMA SEDAN,1441
F150,FORDF150,1,1,0,1,FORDF150,500
VWBE,VOLKBEET,0,0,1,1,VOLKBEET,1646
CHCZ,CHEVCRUZ,0,0,0,0,CHEVCRUZ,862
CTA2,CHEVTAH2,0,1,1,0,CHEVTAH2,6124
MA3S,MAZD3SED,1,0,0,1,MAZD3SED,2109
FOEP,FORDESCA,0,0,1,1,FORDESCA,3275
FOFN,FORDFUSI,1,1,0,1,FORDFUSI,2793
FFE5,FORDFIE5,0,0,1,1,FORDFIE5,2350
HYSL,HYUNSONA,0,1,1,0,HYUNSONA,701
FOXL,FORDEXL4,1,1,1,0,FORDEXL4,659
CTWN,CHRYTOWN,0,1,1,1,CHRYTOWN,3481
CHTA,CHEVROLET TAHOE 4WD,1,1,0,1,CHEVROLET TAHOE 4WD,1353
CTWN,CHRYTOWN,1,0,1,0,CHRYTOWN,1375
MA6I,MAZD6SED,1,0,0,0,MAZD6SED,1208
KS72,KIA SORENTO FWD 7 PASS,0,1,0,0,KIA SORENTO FWD 7 PASS,2150
KS74,KIA SO74,0,1,0,0,KIA SO74,381
,FORDTAU2,1,0,1,0,FORDTAU2,1250
FFET,FORDFIES,0,1,0,1,FORDFIES,1877
CMP2,JEEP COMPASS 2WD,1,0,1,1,JEEP COMPASS 2WD,532
NIAL,NISSALTI,0,0,0,1,NISSALTI,153
CHIM,CHEVIMPA,1,1,1,1,CHEVIMPA,1125
B328,BMW 328I,1,0,0,1,BMW 328I,831
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,1256
KIFO,KIA FORTE,0,0,1,0,KIA FORTE,80
CX5F,MAZDCX5F,0,0,1,1,MAZDCX5F,103
HYSL,HYUNSONA,0,1,0,0,HYUNSONA,1275
BRET,BUICREGT,1,1,0,1,BUICREGT,720
CHIM,CHEVIMPA,0,1,0,1,CHEVIMPA,2753
FTRW,FORDTRAW,0,0,0,1,FORDTRAW,648
CHIM,CHEVIMPA,1,1,1,1,CHEVIMPA,4458
,CHEVROLET CAPTIVA,0,1,1,1,CHEVROLET CAPTIVA,367
NIAL,NISSALTI,1,1,1,1,NISSALTI,506
CHCM,CHEVCAMA,1,0,0,0,CHEVCAMA,103
CHCZ,CHEVCRUZ,0,0,0,1,CHEVCRUZ,1438
HYEL,HYUNELAN,0,0,1,1,HYUNELAN,1298
KS74,KIA SO74,1,0,0,0,KIA SO74,678
FEXP,FORDEXPL,0,1,1,1,FORDEXPL,1945
CTWN,CHRYTOWN,0,1,1,0,CHRYTOWN,523
HYAK,HYUNACCE,1,1,0,0,HYUNACCE,268
BRET,BUICREGT,1,1,0,1,BUICREGT,3365
HYSL,HYUNSONA,0,1,0,1,HYUNSONA,180
FEXP,FORDEXPL,1,0,1,0,FORDEXPL,706
C300,CHRY300M,0,1,0,1,CHRY300M,2388
CHCZ,CHEVCRUZ,0,1,0,1,CHEVCRUZ,369
TOY5,TOYOYALI,0,1,1,1,TOYOYALI,377
CH2S,CHRY200S,1,0,1,1,CHRY200S,75
FOE2,FORDESC2,0,0,1,1,FORDESC2,402
KISL,KIA SOUL,1,1,1,0,KIA SOUL,1553
FOFN,FORDFUSI,1,0,1,0,FORDFUSI,18170
FFET,FORDFIES,1,0,1,1,FORDFIES,1084
TSIE,TOYOSIEN,0,1,0,1,TOYOSIEN,5247
CHTA,CHEVTAHO,0,0,0,0,CHEVTAHO,1720
FEX2,FORDEXL2,0,1,1,0,FORDEXL2,601
DOJ2,DODGJOU2,0,0,1,1,DODGJOU2,1458
FMSN,FORDMUST,0,0,1,1,FORDMUST,1360
FTA2,FORDTAU2,0,1,0,0,FORDTAU2,9412
FMSN,FORDMUST,0,0,1,0,FORDMUST,376
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,15017
FTA2,FORDTAU2,0,0,0,1,FORDTAU2,1753
FMSN,FORDMUST,1,0,0,1,FORDMUST,1521
NIVH,NISSVRHA,1,0,1,0,NISSVRHA,1022
KIOP,KIA OPTI,1,1,0,1,KIA OPTI,866
MA3S,MAZD3SED,0,1,1,1,MAZD3SED,928
TOR4,TOYORAV4,1,1,0,0,TOYORAV4,1855
DOGC,DODGGRCA,1,1,1,0,DODGGRCA,400
HYEL,HYUNELAN,0,1,1,1,HYUNELAN,7885
KIOP,KIA OPTI,1,0,1,1,KIA OPTI,4210
CHSS,CHEVCAMS,1,1,1,1,CHEVCAMS,1027
HYEL,HYUNDAI ELANTRA SEDAN 4DR,0,1,0,0,HYUNDAI ELANTRA SEDAN 4DR,4611
NIVH,NISSVRHA,1,1,1,1,NISSVRHA,9632
NIAL,NISSALTI,0,1,0,0,NISSALTI,508
HYSL,HYUNSONA,1,0,1,0,HYUNSONA,14336
KIOP,KIA OPTI,0,1,1,1,KIA OPTI,7517
KIS2,KIA SPO2,1,0,1,1,KIA SPO2,1193
CHIP,CHEVIMPL,0,1,0,0,CHEVIMPL,6688
XCTC,CHRYTOCO,1,0,0,1,CHRYTOCO,8629
CCAT,CHEVCAPT,1,1,1,1,CHEVCAPT,10531
XM3G,MERC350G,0,0,1,0,MERC350G,8433
X20C,CHRY200C,1,0,0,0,CHRY200C,4678
NIAL,NISSALTI,0,1,0,1,NISSALTI,10492
BMWX,BMW X1AW,1,1,1,0,BMW X1AW,3885
NIAL,NISSALTI,1,1,0,0,NISSALTI,10005
FOEP,FORDESCA,1,1,1,1,FORDESCA,1569
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,1006
KS72,KIA SORENTO FWD 7 PASS,1,1,1,1,KIA SORENTO FWD 7 PASS,24141
XVOT,VOLKTIGU,1,1,1,0,VOLKTIGU,15915
CHIP,CHEVIMPL,0,1,0,0,CHEVIMPL,5262
KS74,KIA SO74,0,1,0,1,KIA SO74,13858
HYAK,HYUNACCE,1,1,1,1,HYUNACCE,18263
LIMZ,LINC MKZ,1,1,0,1,LINC MKZ,1046
HYSL,HYUNSONA,1,0,0,1,HYUNSONA,7268
VOXF,VOLVXC6F,1,1,0,1,VOLVXC6F,521
FTRW,FORDTRAW,1,1,0,1,FORDTRAW,636
FOXL,FORDEXL4,1,0,0,0,FORDEXL4,5600
GMT2,GMC TER2,0,0,0,1,GMC TER2,353
CCAT,CHEVCAPT,1,0,1,1,CHEVCAPT,1180
CHCZ,CHEVCRUZ,0,1,0,1,CHEVCRUZ,436
JGCH,JEEPGRC2,1,0,0,0,JEEPGRC2,563
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,316
FOFN,FORDFUSI,0,1,0,0,FORDFUSI,400
CMP2,JEEPCMP2,0,0,0,0,JEEPCMP2,225
CHIM,CHEVIMPA,0,0,0,1,CHEVIMPA,544
NIAL,NISSALTI,1,1,0,1,NISSALTI,2691
BUE4,BUICENC4,1,1,0,0,BUICENC4,1177
KIFO,KIA FORT,1,1,0,1,KIA FORT,2530
FTRW,FORDTRAW,1,1,0,0,FORDTRAW,1030
FTRW,FORDTRAW,1,1,0,1,FORDTRAW,1213
MA6I,MAZD6SED,1,0,0,0,MAZD6SED,1606
FOXL,FORDEXL4,0,1,0,1,FORDEXL4,818
LIMZ,LINC MKZ,1,0,0,0,LINC MKZ,1266
DOGC,DODGE GRAND CARAVAN,1,1,1,1,DODGE GRAND CARAVAN,3275
VWJE,VOLKJETT,1,0,0,0,VOLKJETT,2335
FOFN,FORDFUSI,1,0,0,1,FORDFUSI,967
JKEE,JEEPGRCH,0,1,0,0,JEEPGRCH,2914
TORV,TOYORAV2,0,1,0,1,TOYORAV2,1629
KISL,KIA SOUL,0,0,1,1,KIA SOUL,641
SUXC,SUBAXVCR,0,1,0,0,SUBAXVCR,355
FOE2,FORDESC2,1,1,0,0,FORDESC2,2498
FMSN,FORDMUST,1,1,0,0,FORDMUST,9285
NIAL,NISSALTI,1,1,1,1,NISSALTI,1293
FOCX,FORDFOCO,1,0,0,0,FORDFOCO,4578
FMUC,FORDMUSC,0,0,1,0,FORDMUSC,1418
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,1645
CMRY,TOYOCAMR,1,0,1,0,TOYOCAMR,3281
CMRY,TOYOCAMR,0,0,0,1,TOYOCAMR,705
FTRW,FORDTRAW,1,0,0,1,FORDTRAW,1681
HYSL,HYUNSONA,0,0,1,1,HYUNSONA,939
KISD,KIA SEDO,0,0,0,0,KIA SEDO,868
CTWN,CHRYTOWN,1,1,1,0,CHRYTOWN,1137
NIAL,NISSALTI,0,0,1,1,NISSALTI,185
CHTV,CHEVTRAV,0,1,1,0,CHEVTRAV,1791
FEXP,FORDEXPL,0,0,0,0,FORDEXPL,1335
CHCZ,CHEVCRUZ,1,1,1,1,CHEVCRUZ,707
NIAL,NISSALTI,1,1,1,1,NISSALTI,235
DOD2,DODGDUR2,1,1,0,0,DODGDUR2,439
KIOP,KIA OPTI,1,0,1,1,KIA OPTI,384
DOGC,DODGGRCA,1,0,0,1,DODGGRCA,685
CMRY,TOYOCAMR,1,1,0,0,TOYOCAMR,545
DODU,DODGDURA,0,1,1,1,DODGDURA,279
CMP2,JEEPCMP2,1,0,1,0,JEEPCMP2,360
XCCZ,CHEVCRUZ,0,0,1,0,CHEVCRUZ,2473
CHCZ,CHEVCRUZ,0,1,1,0,CHEVCRUZ,555
HYEL,HYUNELAN,1,0,0,1,HYUNELAN,399
NIVH,NISSVRHA,1,0,0,1,NISSVRHA,3031
CHE2,CHEVEQU2,0,1,1,1,CHEVEQU2,318
VG2F,VOLKGOLF,1,1,1,1,VOLKGOLF,1203
CMP2,JEEPCMP2,0,1,0,0,JEEPCMP2,2019
CHCZ,CHEVCRUZ,0,0,0,1,CHEVCRUZ,16974
FFET,FORDFIES,0,0,0,1,FORDFIES,15447
FOXL,FORDEXL4,1,1,1,1,FORDEXL4,2429
CHIM,CHEVIMPA,1,1,1,0,CHEVIMPA,5434
KIFO,KIA FORT,1,1,0,0,KIA FORT,482
HYSL,HYUNSONA,1,0,1,1,HYUNSONA,774
FFET,FORDFIES,0,1,1,1,FORDFIES,778
FTRW,FORDTRAW,0,0,1,0,FORDTRAW,567
NIAL,NISSALTI,1,1,0,0,NISSALTI,80
CHIP,CHEVIMPL,1,1,1,0,CHEVIMPL,9821
CHIP,CHEVIMPL,1,0,1,1,CHEVIMPL,556
HYEL,HYUNELAN,1,0,0,1,HYUNELAN,561
CHSS,CHEVCAMS,0,1,1,0,CHEVCAMS,388
KIFO,KIA FORT,0,0,1,0,KIA FORT,2090
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,9275
MILC,MITSLANC,0,0,0,1,MITSLANC,628
CHIM,CHEVIMPA,1,1,1,0,CHEVIMPA,357
NIVS,NISSVRSA,1,1,1,1,NISSVRSA,312
SUXC,SUBAXVCR,1,0,1,0,SUBAXVCR,377
CX5F,MAZDCX5F,1,1,0,0,MAZDCX5F,1308
,MAZD6SED,1,0,0,1,MAZD6SED,1144
FOFN,FORDFUSI,0,1,0,1,FORDFUSI,145
KIFO,KIA FORT,1,0,0,1,KIA FORT,1938
HYEL,HYUNELAN,0,0,0,0,HYUNELAN,1991
FFE5,FORDFIE5,1,1,1,0,FORDFIE5,2230
CHCZ,CHEVCRUZ,1,0,0,0,CHEVCRUZ,1003
HYA6,HYUNSANT,0,1,0,0,HYUNSANT,5462
MILC,MITSLANC,1,0,0,0,MITSLANC,1367
CHIM,CHEVIMPA,1,0,1,0,CHEVIMPA,836
CTWN,CHRYTOWN,1,1,0,0,CHRYTOWN,1974
FTRW,FORDTRAW,1,0,1,1,FORDTRAW,1098
NIJ2,NISSJUK2,1,1,1,0,NISSJUK2,1124
KS74,KIA SORENTO 4WD 7 PASS,0,1,0,1,KIA SORENTO 4WD 7 PASS,306
MA3S,MAZD3SED,0,0,1,1,MAZD3SED,1544
VWBE,VOLKBEET,0,1,1,1,VOLKBEET,237
MA3S,MAZD3SED,0,0,1,1,MAZD3SED,1527
FOFN,FORDFUSI,1,0,1,0,FORDFUSI,1985
CHCZ,CHEVCRUZ,0,1,1,1,CHEVCRUZ,528
BUEN,BUICENCL,0,0,0,1,BUICENCL,234
V60F,VOLVV60F,1,1,1,1,VOLVV60F,1496
,HYUNSONA,0,1,0,1,HYUNSONA,278
JEP2,JEEPPAT2,1,0,0,1,JEEPPAT2,1362
FFET,FORDFIES,0,1,1,0,FORDFIES,259
FOFN,FORDFUSI,0,0,0,0,FORDFUSI,1343
CTWN,CHRYTOWN,0,1,1,1,CHRYTOWN,639
KS74,KIA SO74,1,1,1,1,KIA SO74,309
CHT4,CHEVTRA4,1,0,0,1,CHEVTRA4,231
CHEQ,CHEVEQUI,0,1,1,1,CHEVEQUI,732
MA3S,MAZD3SED,0,1,1,0,MAZD3SED,402
NIAL,NISSALTI,0,1,0,1,NISSALTI,789
CTWN,CHRYTOWN,1,0,1,0,CHRYTOWN,1658
TOAV,TOYOAVAL,0,1,1,1,TOYOAVAL,502
HYSL,HYUNSONA,1,1,1,0,HYUNSONA,590
VOPS,VOLKPASS,0,0,0,1,VOLKPASS,1010
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,1032
TOYB,TOYOCRLA,1,1,1,1,TOYOCRLA,3356
,KIA SO74,0,1,1,1,KIA SO74,2941
NIVS,NISSVRSA,0,0,0,0,NISSVRSA,1877
CHTV,CHEVTRAV,0,0,1,1,CHEVTRAV,396
NIAL,NISSALTI,0,1,1,0,NISSALTI,1734
VWJE,VOLKJETT,1,0,1,1,VOLKJETT,391
NIAL,NISSALTI,0,0,0,1,NISSALTI,1210
CATR,CADIATSR,1,1,1,1,CADIATSR,153
FEX2,FORDEXL2,0,0,0,1,FORDEXL2,7303
TOYB,TOYOCRLA,0,1,0,0,TOYOCRLA,153
CHSU,CHEVSUBU,1,1,1,0,CHEVSUBU,595
KS74,KIA SO74,1,0,1,1,KIA SO74,2377
KIOP,KIA OPTI,0,1,1,1,KIA OPTI,457
NIVS,NISSVRSA,0,0,1,0,NISSVRSA,12240
XCMS,CHEVMALI,1,1,1,0,CHEVMALI,718
CCAT,CHEVCAPT,1,1,1,1,CHEVCAPT,422
CCAT,CHEVCAPT,1,0,1,0,CHEVCAPT,1187
FTA2,FORDTAU2,1,0,1,0,FORDTAU2,2930
CMRY,TOYOCAMR,0,0,1,1,TOYOCAMR,1319
FOFN,FORDFUSI,0,1,1,0,FORDFUSI,948
XNAL,NISSALTA,0,0,1,0,NISSALTA,586
KIFO,KIA FORT,0,0,1,0,KIA FORT,2293
KIOP,KIA OPTI,1,1,1,1,KIA OPTI,5921
FMSN,FORDMUST,1,0,0,1,FORDMUST,10425
CX5F,MAZDA CX-5 FWD,1,1,0,1,MAZDA CX-5 FWD,13818
XFEX,FORDEXPE,1,0,0,1,FORDEXPE,27011
CMRY,TOYOCAMR,0,1,0,1,TOYOCAMR,6232
TOYB,TOYOCRLA,0,1,0,0,TOYOCRLA,15574
VWJE,VOLKJETT,0,1,0,0,VOLKJETT,7542
HYA6,HYUNSANT,1,1,0,0,HYUNSANT,11424
CHE2,CHEVEQU2,1,1,0,0,CHEVEQU2,4934
KS74,KIA SO74,0,1,0,0,KIA SO74,453
KS74,KIA SORENTO 4WD 7 PASS,0,0,1,1,KIA SORENTO 4WD 7 PASS,611
FFE5,FORDFIE5,0,0,1,0,FORDFIE5,1685
CHE2,CHEVEQU2,1,0,1,1,CHEVEQU2,2128
FFET,FORDFIES,1,0,1,1,FORDFIES,3707
FTA2,FORDTAU2,0,1,0,1,FORDTAU2,30512
KISL,KIA SOUL,0,1,1,1,KIA SOUL,3132
NIF2,NISSFRO2,0,0,0,0,NISSFRO2,641
CTWN,CHRYTOWN,1,1,0,1,CHRYTOWN,701
CMP2,JEEPCMP2,1,0,1,0,JEEPCMP2,1795
FTA2,FORDTAU2,0,0,0,1,FORDTAU2,860
HYEL,HYUNELAN,0,0,1,1,HYUNELAN,974
CCAT,CHEVCAPT,1,0,1,0,CHEVCAPT,493
DOGC,DODGGRCA,1,0,0,0,DODGGRCA,36096
CHCZ,CHEVCRUZ,1,0,1,1,CHEVCRUZ,3542
DOGC,DODGGRCA,0,0,1,0,DODGGRCA,886
HYSL,HYUNSONA,1,0,0,0,HYUNSONA,375
CATR,CADIATSR,1,1,1,0,CADIATSR,291
SUOB,SUBAOUTB,1,1,1,1,SUBAOUTB,629
NIAL,NISSALTI,0,1,0,0,NISSALTI,417
NIAL,NISSALTI,1,1,1,0,NISSALTI,891
NIAL,NISSALTI,1,0,1,0,NISSALTI,441
DOJ2,DODGJOU2,1,1,1,0,DODGJOU2,523
KIOP,KIA OPTI,0,0,0,0,KIA OPTI,754
CHCZ,CHEVCRUZ,0,0,0,0,CHEVCRUZ,785
CHCZ,CHEVCRUZ,0,0,1,1,CHEVCRUZ,2257
KIFO,KIA FORTE,1,1,1,1,KIA FORTE,2364
CMPS,JEEPCMPS,1,1,1,0,JEEPCMPS,6129
CCAT,CHEVCAPT,0,0,1,0,CHEVCAPT,592
NIAL,NISSALTI,1,0,0,1,NISSALTI,3476
MA6I,MAZDA 6 SEDAN I TOURING,0,1,0,1,MAZDA 6 SEDAN I TOURING,580
ME3R,MERCE350,1,1,0,1,MERCE350,6929
BX1R,BMW X1RW,0,0,0,1,BMW X1RW,1218
CHEQ,CHEVEQUI,1,0,1,0,CHEVEQUI,891
NIVH,NISSVRHA,1,1,1,1,NISSVRHA,898
VOXF,VOLVXC6F,1,1,1,0,VOLVXC6F,2400
NIAL,NISSALTI,1,1,1,1,NISSALTI,1266
BX1R,BMW X1RW,0,0,0,1,BMW X1RW,1197
CHCZ,CHEVCRUZ,0,1,1,1,CHEVCRUZ,2152
MA6I,MAZDA 6 SEDAN I TOURING,1,1,1,0,MAZDA 6 SEDAN I TOURING,453
KISL,KIA SOUL,0,0,1,0,KIA SOUL,716
HYAK,HYUNACCE,1,0,1,0,HYUNACCE,456
KISL,KIA SOUL,1,0,0,0,KIA SOUL,2076
DOGC,DODGGRCA,1,0,0,0,DODGGRCA,485
KISS,KIA SPOR,0,1,1,1,KIA SPOR,1258
FEX2,FORDEXL2,1,0,1,0,FORDEXL2,128
