MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
FTRW,FORD TRANSIT WAGON,1,1,0,1,FORD TRANSIT WAGON,1383
TOPH,TOYOPRIH,1,1,1,0,TOYOPRIH,274
VG2F,VOLKGOLF,0,1,1,0,VOLKGOLF,8632
CHIM,CHEVIMPA,0,0,0,0,CHEVIMPA,2580
HYEL,HYUNDAI ELANTRA SEDAN 4DR,0,0,0,1,HYUNDAI ELANTRA SEDAN 4DR,523
SUOB,SUBAOUTB,0,0,0,1,SUBAOUTB,687
TOPH,TOYOPRIH,0,0,0,1,TOYOPRIH,1891
KIFO,KIA FORT,1,0,1,0,KIA FORT,1509
FTA2,FORDTAU2,0,1,0,0,FORDTAU2,153
MIMI,MITSMIRA,0,1,1,1,MITSMIRA,188
NIAL,NISSALTI,0,0,1,0,NISSALTI,1019
FTA2,FORDTAU2,1,1,1,1,FORDTAU2,1840
KIOP,KIA OPTI,0,1,0,1,KIA OPTI,202
FOFN,FORDFUSI,1,1,0,1,FORDFUSI,1719
KIOP,KIA OPTI,0,1,1,0,KIA OPTI,3941
BUVE,BUICVERA,0,1,0,0,BUICVERA,1365
FOMG,FORDMUGT,1,1,0,0,FORDMUGT,797
NIAL,NISSALTI,0,0,1,1,NISSALTI,699
FOFN,FORDFUSI,0,1,1,0,FORDFUSI,937
TOYB,TOYOCRLA,1,0,1,0,TOYOCRLA,646
KIOP,KIA OPTI,0,1,0,1,KIA OPTI,1840
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,595
CHCM,CHEVCAMA,1,0,1,1,CHEVCAMA,228
MA5S,MAZD5SPT,1,0,0,1,MAZD5SPT,1242
BRET,BUICREGT,0,1,0,0,BUICREGT,678
FOE2,FORDESC2,1,0,0,0,FORDESC2,3358
HYEL,HYUNELAN,1,0,0,1,HYUNELAN,508
HYEL,HYUNELAN,1,1,1,0,HYUNELAN,125
,NISSALTI,1,1,1,1,NISSALTI,732
FOFN,FORDFUSI,0,0,1,1,FORDFUSI,832
HYAK,HYUNACCE,0,1,0,0,HYUNACCE,1906
NIVS,NISSVRSA,0,0,0,1,NISSVRSA,365
DOGC,DODGGRCA,0,1,0,0,DODGGRCA,972
CHCM,CAMARO SS,1,1,0,1,CAMARO SS,303
HYEL,HYUNELAN,0,0,0,1,HYUNELAN,512
KIFO,KIA FORTE,0,0,0,0,KIA FORTE,772
CHIM,CHEVIMPA,0,0,1,0,CHEVIMPA,925
HYEL,HYUNELAN,0,0,1,0,HYUNELAN,1246
CSU2,CHEVSUB2,1,0,0,1,CHEVSUB2,3213
KIOP,KIA OPTI,0,0,1,0,KIA OPTI,1045
CHCZ,CHEVCRUZ,1,1,0,1,CHEVCRUZ,865
MILC,MITSLANC,0,0,1,1,MITSLANC,461
FTRW,FORDTRAW,0,1,0,0,FORDTRAW,1761
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,591
DOCT,DODGCHAT,0,0,0,1,DODGCHAT,297
TOH2,TOYOHIG2,0,0,0,0,TOYOHIG2,388
CTWN,CHRYTOWN,1,1,0,1,CHRYTOWN,2022
NIAL,NISSALTI,1,0,0,0,NISSALTI,639
HYEL,HYUNELAN,0,1,0,1,HYUNELAN,1438
B328,BMW 328I,0,0,0,1,BMW 328I,907
CTWN,CHRYTOWN,1,0,0,1,CHRYTOWN,1822
CHIM,CHEVIMPA,1,1,1,0,CHEVIMPA,128
FEXP,FORD EXPLORER 4WD,0,0,0,0,FORD EXPLORER 4WD,1186
CMRY,TOYOCAMR,0,0,1,1,TOYOCAMR,757
CHIM,CHEVIMPA,0,1,1,0,CHEVIMPA,534
TOPH,TOYOPRIH,0,0,0,1,TOYOPRIH,285
VO60,VOLVS60F,0,1,0,0,VOLVS60F,446
CHCZ,CHEVCRUZ,1,0,1,0,CHEVCRUZ,249
JEPA,JEEPPATR,1,0,0,1,JEEPPATR,1168
FTRW,FORDTRAW,0,0,0,1,FORDTRAW,725
HYEL,HYUNELAN,0,1,1,0,HYUNELAN,296
MA6I,MAZDA 6 SEDAN I TOURING,0,0,0,0,MAZDA 6 SEDAN I TOURING,2152
HYEL,HYUNELAN,1,0,0,0,HYUNELAN,1436
CH2S,CHRY200S,1,0,1,0,CHRY200S,555
NIAL,NISSAN ALTIMA SEDAN,1,0,0,1,NISSAN ALTIMA SEDAN,468
FOFN,FORDFUSI,0,0,0,0,FORDFUSI,427
CATR,CADIATSR,1,1,1,1,CADIATSR,680
KIFO,KIA FORT,0,0,1,1,KIA FORT,19920
CHIP,CHEVIMPL,1,0,1,1,CHEVIMPL,257
KIFO,KIA FORT,0,0,1,1,KIA FORT,314
MA6I,MAZDA 6 SEDAN I TOURING,1,1,1,1,MAZDA 6 SEDAN I TOURING,2172
FOFN,FORDFUSI,1,0,1,1,FORDFUSI,672
FEX2,FORDEXL2,0,1,1,0,FORDEXL2,251
FEX2,FORDEXL2,0,1,0,1,FORDEXL2,4269
FOE2,FORDESC2,1,1,0,0,FORDESC2,703
KS72,KIA SO7F,1,0,1,0,KIA SO7F,1351
HYEL,HYUNELAN,1,1,1,1,HYUNELAN,1640
FMSN,FORDMUST,0,0,0,1,FORDMUST,1716
FOE2,FORDESC2,0,1,0,0,FORDESC2,1116
NIVS,NISSVRSA,0,1,0,0,NISSVRSA,20096
MA3S,MAZD3SED,1,1,0,1,MAZD3SED,1618
CTWN,CHRYTOWN,0,0,0,0,CHRYTOWN,237
NIAL,NISSALTI,0,1,1,0,NISSALTI,636
FEX2,FORDEXL2,1,1,0,1,FORDEXL2,1971
NIJ2,NISSJUK2,0,0,1,1,NISSJUK2,3553
FMSN,FORDMUST,1,1,1,1,FORDMUST,577
CMRY,TOYOCAMR,1,1,1,0,TOYOCAMR,8301
DOGC,DODGGRCA,1,0,1,0,DODGGRCA,328
MILC,MITSLANC,1,0,0,1,MITSLANC,386
NIVS,NISSVRSA,1,1,1,0,NISSVRSA,1618
SUOB,SUBAOUTB,0,1,0,0,SUBAOUTB,1253
CCAT,CHEVCAPT,1,0,0,0,CHEVCAPT,5517
CCAT,CHEVCAPT,0,0,0,0,CHEVCAPT,1601
